material,plant,demand_date,mrp_element_cd,mrp_element,change_quantity,total_quantity,storage_location,supplier_nr,planner,line_index
7430935-05,MC10,05/11/21,SB,DepReq,-1,526,PLT1,,114,3
7430935-05,MC10,05/20/21,WB,Stock,587,587,,,114,1
7430935-05,MC10,05/20/21,SH,SafeSt,-60,527,,,114,2
7430935-05,MC10,05/20/21,LA,ShipNt,180,706,,22325910,114,4
7430935-05,MC10,05/20/21,SB,DepReq,-6,700,PLT1,,114,5
7430935-05,MC10,05/20/21,SB,DepReq,-198,502,PLT1,,114,6
7430935-05,MC10,05/21/21,LA,ShipNt,180,682,,22325910,114,7
7430935-05,MC10,05/21/21,SB,DepReq,-4,678,PLT1,,114,8
7430935-05,MC10,05/21/21,SB,DepReq,-274,404,PLT1,,114,9
7430935-05,MC10,05/22/21,SB,DepReq,-52,409,PLT1,,114,3
7430935-05,MC10,05/22/21,LE,SchAgr,180,584,,22325910,114,10
7430935-05,MC10,05/22/21,SB,DepReq,-174,410,PLT1,,114,11
7430935-05,MC10,05/23/21,WB,Stock,521,521,,,114,1
7430935-05,MC10,05/23/21,SH,SafeSt,-60,461,,,114,2
7430935-05,MC10,05/24/21,LA,ShipNt,240,649,,22325910,114,4
7430935-05,MC10,05/24/21,SB,DepReq,-2,647,PLT1,,114,5
7430935-05,MC10,05/24/21,SB,DepReq,-218,429,PLT1,,114,6
7430935-05,MC10,05/24/21,SB,DepReq,-2,648,PLT1,,114,13
7430935-05,MC10,05/24/21,SB,DepReq,-216,432,PLT1,,114,14
7430935-05,MC10,05/25/21,LA,ShipNt,240,669,,22325910,114,7
7430935-05,MC10,05/25/21,SB,DepReq,-2,667,PLT1,,114,8
7430935-05,MC10,05/25/21,SB,DepReq,-147,520,PLT1,,114,9
7430935-05,MC10,05/25/21,FH,----->,0,432,,,114,15
7430935-05,MC10,05/25/21,LE,SchAgr,240,672,,22325910,114,16
7430935-05,MC10,05/25/21,SB,DepReq,-3,669,PLT1,,114,17
7430935-05,MC10,05/25/21,SB,DepReq,-148,521,PLT1,,114,18
7430935-05,MC10,05/26/21,LE,SchAgr,240,760,,22325910,114,10
7430935-05,MC10,05/26/21,SB,DepReq,-3,757,PLT1,,114,11
7430935-05,MC10,05/26/21,SB,DepReq,-230,527,PLT1,,114,12
7430935-05,MC10,05/26/21,LE,SchAgr,240,761,,22325910,114,19
7430935-05,MC10,05/26/21,SB,DepReq,-2,759,PLT1,,114,20
7430935-05,MC10,05/27/21,LE,SchAgr,180,707,,22325910,114,13
7430935-05,MC10,05/27/21,SB,DepReq,-256,451,PLT1,,114,14
7430935-05,MC10,05/27/21,LE,SchAgr,180,710,,22325910,114,22
7430935-05,MC10,05/27/21,SB,DepReq,-2,708,PLT1,,114,23
7430935-05,MC10,05/27/21,SB,DepReq,-256,452,PLT1,,114,24
7430935-05,MC10,05/28/21,FH,----->,0,451,,,114,15
7430935-05,MC10,05/28/21,LE,SchAgr,120,571,,22325910,114,16
7430935-05,MC10,05/28/21,SB,DepReq,-5,566,PLT1,,114,17
7430935-05,MC10,05/28/21,SB,DepReq,-250,316,PLT1,,114,18
7430935-05,MC10,05/28/21,LE,SchAgr,120,572,,22325910,114,25
7430935-05,MC10,05/28/21,SB,DepReq,-5,567,PLT1,,114,26
7430935-05,MC10,05/28/21,SB,DepReq,-252,315,PLT1,,114,27
7430935-05,MC10,05/29/21,LE,SchAgr,180,496,,22325910,114,19
7430935-05,MC10,05/29/21,SB,DepReq,-4,492,PLT1,,114,20
7430935-05,MC10,05/29/21,SB,DepReq,-188,304,PLT1,,114,21
7430935-05,MC10,05/29/21,LE,SchAgr,240,555,,22325910,114,28
7430935-05,MC10,05/29/21,SB,DepReq,-5,550,PLT1,,114,29
7430935-05,MC10,05/29/21,SB,DepReq,-187,363,PLT1,,114,30
7430935-05,MC10,06/01/21,LE,SchAgr,300,604,,22325910,114,22
7430935-05,MC10,06/01/21,SB,DepReq,-8,596,PLT1,,114,23
7430935-05,MC10,06/01/21,SB,DepReq,-66,530,PLT1,,114,24
7430935-05,MC10,06/01/21,LE,SchAgr,300,663,,22325910,114,31
7430935-05,MC10,06/01/21,PP,IndReq,-5,658,,,114,32
7430935-05,MC10,06/01/21,SB,DepReq,-5,653,PLT1,,114,33
7430935-05,MC10,06/01/21,SB,DepReq,-61,592,PLT1,,114,34
7430935-05,MC10,06/02/21,LE,SchAgr,180,710,,22325910,114,25
7430935-05,MC10,06/02/21,SB,DepReq,-5,705,PLT1,,114,26
7430935-05,MC10,06/02/21,SB,DepReq,-218,487,PLT1,,114,27
7430935-05,MC10,06/02/21,LE,SchAgr,180,772,,22325910,114,35
7430935-05,MC10,06/02/21,PP,IndReq,-249,523,,,114,36
7430935-05,MC10,06/03/21,LE,SchAgr,180,667,,22325910,114,28
7430935-05,MC10,06/03/21,SB,DepReq,-5,662,PLT1,,114,29
7430935-05,MC10,06/03/21,SB,DepReq,-243,419,PLT1,,114,30
7430935-05,MC10,06/03/21,LE,SchAgr,180,703,,22325910,114,37
7430935-05,MC10,06/03/21,PP,IndReq,-287,416,,,114,38
7430935-05,MC10,06/04/21,LE,SchAgr,180,599,,22325910,114,31
7430935-05,MC10,06/04/21,SB,DepReq,-5,594,PLT1,,114,32
7430935-05,MC10,06/04/21,SB,DepReq,-231,363,PLT1,,114,33
7430935-05,MC10,06/04/21,LE,SchAgr,180,596,,22325910,114,39
7430935-05,MC10,06/04/21,PP,IndReq,-231,365,,,114,40
7430935-05,MC10,06/05/21,LE,SchAgr,240,603,,22325910,114,34
7430935-05,MC10,06/05/21,PP,IndReq,-158,445,,,114,35
7430935-05,MC10,06/05/21,LE,SchAgr,180,545,,22325910,114,41
7430935-05,MC10,06/05/21,PP,IndReq,-153,392,,,114,42
7430935-05,MC10,06/07/21,LE,SchAgr,180,625,,22325910,114,36
7430935-05,MC10,06/07/21,PP,IndReq,-197,428,,,114,37
7430935-05,MC10,06/07/21,LE,SchAgr,180,572,,22325910,114,43
7430935-05,MC10,06/07/21,PP,IndReq,-191,381,,,114,44
7430935-05,MC10,06/08/21,LE,SchAgr,240,668,,22325910,114,38
7430935-05,MC10,06/08/21,PP,IndReq,-209,459,,,114,39
7430935-05,MC10,06/08/21,LE,SchAgr,240,621,,22325910,114,45
7430935-05,MC10,06/08/21,PP,IndReq,-187,434,,,114,46
7430935-05,MC10,06/09/21,LE,SchAgr,180,639,,22325910,114,40
7430935-05,MC10,06/09/21,PP,IndReq,-194,445,,,114,41
7430935-05,MC10,06/09/21,LE,SchAgr,180,614,,22325910,114,47
7430935-05,MC10,06/09/21,PP,IndReq,-184,430,,,114,48
7430935-05,MC10,06/10/21,LE,SchAgr,180,625,,22325910,114,42
7430935-05,MC10,06/10/21,PP,IndReq,-219,406,,,114,43
7430935-05,MC10,06/10/21,LE,SchAgr,180,610,,22325910,114,49
7430935-05,MC10,06/10/21,PP,IndReq,-213,397,,,114,50
7430935-05,MC10,06/11/21,LE,SchAgr,180,586,,22325910,114,44
7430935-05,MC10,06/11/21,PP,IndReq,-215,371,,,114,45
7430935-05,MC10,06/11/21,LE,SchAgr,240,637,,22325910,114,51
7430935-05,MC10,06/11/21,PP,IndReq,-204,433,,,114,52
7430935-05,MC10,06/12/21,LE,SchAgr,240,611,,22325910,114,46
7430935-05,MC10,06/12/21,PP,IndReq,-166,445,,,114,47
7430935-05,MC10,06/12/21,LE,SchAgr,180,613,,22325910,114,53
7430935-05,MC10,06/12/21,PP,IndReq,-189,424,,,114,54
7430935-05,MC10,06/14/21,LE,SchAgr,240,685,,22325910,114,48
7430935-05,MC10,06/14/21,PP,IndReq,-198,487,,,114,49
7430935-05,MC10,06/14/21,SB,DepReq,-1,486,PLT1,,114,50
7430935-05,MC10,06/14/21,LE,SchAgr,240,664,,22325910,114,55
7430935-05,MC10,06/14/21,PP,IndReq,-215,449,,,114,56
7430935-05,MC10,06/14/21,SB,DepReq,-1,448,PLT1,,114,57
7430935-05,MC10,06/15/21,LE,SchAgr,180,666,,22325910,114,51
7430935-05,MC10,06/15/21,PP,IndReq,-214,452,,,114,52
7430935-05,MC10,06/15/21,LE,SchAgr,240,688,,22325910,114,58
7430935-05,MC10,06/15/21,PP,IndReq,-204,484,,,114,59
7430935-05,MC10,06/16/21,WB,Stock,702,702,,,114,1
7430935-05,MC10,06/16/21,SH,SafeSt,-60,642,,,114,2
7430935-05,MC10,06/16/21,SB,DepReq,-6,636,PLT1,,114,3
7430935-05,MC10,06/16/21,SB,DepReq,-165,471,PLT1,,114,4
7430935-05,MC10,06/16/21,LE,SchAgr,240,692,,22325910,114,53
7430935-05,MC10,06/16/21,PP,IndReq,-229,463,,,114,54
7430935-05,MC10,06/16/21,LE,SchAgr,180,664,,22325910,114,60
7430935-05,MC10,06/16/21,PP,IndReq,-220,444,,,114,61
7430935-05,MC10,06/17/21,LA,ShipNt,240,711,,22325910,114,5
7430935-05,MC10,06/17/21,SB,DepReq,-4,707,PLT1,,114,6
7430935-05,MC10,06/17/21,SB,DepReq,-199,508,PLT1,,114,7
7430935-05,MC10,06/17/21,LE,SchAgr,180,643,,22325910,114,55
7430935-05,MC10,06/17/21,PP,IndReq,-222,421,,,114,56
7430935-05,MC10,06/17/21,LE,SchAgr,240,684,,22325910,114,62
7430935-05,MC10,06/17/21,PP,IndReq,-209,475,,,114,63
7430935-05,MC10,06/18/21,LE,SchAgr,180,688,,22325910,114,8
7430935-05,MC10,06/18/21,SB,DepReq,-1,687,PLT1,,114,9
7430935-05,MC10,06/18/21,SB,DepReq,-196,491,PLT1,,114,10
7430935-05,MC10,06/18/21,LE,SchAgr,240,661,,22325910,114,57
7430935-05,MC10,06/18/21,PP,IndReq,-220,441,,,114,58
7430935-05,MC10,06/18/21,LE,SchAgr,180,655,,22325910,114,64
7430935-05,MC10,06/18/21,PP,IndReq,-216,439,,,114,65
7430935-05,MC10,06/19/21,LA,ShipNt,240,778,,22325910,114,3
7430935-05,MC10,06/19/21,SB,DepReq,-30,748,PLT1,,114,4
7430935-05,MC10,06/19/21,LE,SchAgr,240,731,,22325910,114,11
7430935-05,MC10,06/19/21,SB,DepReq,-3,728,PLT1,,114,12
7430935-05,MC10,06/19/21,SB,DepReq,-209,519,PLT1,,114,13
7430935-05,MC10,06/19/21,LE,SchAgr,240,681,,22325910,114,59
7430935-05,MC10,06/19/21,PP,IndReq,-182,499,,,114,60
7430935-05,MC10,06/19/21,LE,SchAgr,240,679,,22325910,114,66
7430935-05,MC10,06/19/21,PP,IndReq,-207,472,,,114,67
7430935-05,MC10,06/20/21,LA,ShipNt,180,928,,22325910,114,5
7430935-05,MC10,06/21/21,LA,ShipNt,120,1048,,22325910,114,6
7430935-05,MC10,06/21/21,SB,DepReq,-240,808,PLT1,,114,7
7430935-05,MC10,06/21/21,FH,----->,0,519,,,114,14
7430935-05,MC10,06/21/21,LE,SchAgr,180,699,,22325910,114,15
7430935-05,MC10,06/21/21,SB,DepReq,-1,698,PLT1,,114,16
7430935-05,MC10,06/21/21,SB,DepReq,-209,489,PLT1,,114,17
7430935-05,MC10,06/21/21,LE,SchAgr,240,739,,22325910,114,61
7430935-05,MC10,06/21/21,PP,IndReq,-234,505,,,114,62
7430935-05,MC10,06/21/21,LE,SchAgr,240,712,,22325910,114,68
7430935-05,MC10,06/21/21,PP,IndReq,-231,481,,,114,69
7430935-05,MC10,06/22/21,SB,DepReq,-4,804,PLT1,,114,8
7430935-05,MC10,06/22/21,SB,DepReq,-263,541,PLT1,,114,9
7430935-05,MC10,06/22/21,LE,SchAgr,120,609,,22325910,114,18
7430935-05,MC10,06/22/21,SB,DepReq,-3,606,PLT1,,114,19
7430935-05,MC10,06/22/21,SB,DepReq,-263,343,PLT1,,114,20
7430935-05,MC10,06/22/21,LE,SchAgr,240,745,,22325910,114,63
7430935-05,MC10,06/22/21,PP,IndReq,-251,494,,,114,64
7430935-05,MC10,06/22/21,LE,SchAgr,240,721,,22325910,114,70
7430935-05,MC10,06/22/21,PP,IndReq,-231,490,,,114,71
7430935-05,MC10,06/23/21,SB,DepReq,-4,537,PLT1,,114,10
7430935-05,MC10,06/23/21,SB,DepReq,-159,378,PLT1,,114,11
7430935-05,MC10,06/23/21,LE,SchAgr,60,403,,22325910,114,21
7430935-05,MC10,06/23/21,SB,DepReq,-4,399,PLT1,,114,22
7430935-05,MC10,06/23/21,SB,DepReq,-192,207,PLT1,,114,23
7430935-05,MC10,06/23/21,LE,SchAgr,180,674,,22325910,114,65
7430935-05,MC10,06/23/21,PP,IndReq,-237,437,,,114,66
7430935-05,MC10,06/23/21,LE,SchAgr,240,730,,22325910,114,72
7430935-05,MC10,06/23/21,PP,IndReq,-224,506,,,114,73
7430935-05,MC10,06/24/21,LE,SchAgr,60,438,,22325910,114,12
7430935-05,MC10,06/24/21,SB,DepReq,-104,330,PLT1,,114,14
7430935-05,MC10,06/24/21,LE,SchAgr,240,447,,22325910,114,24
7430935-05,MC10,06/24/21,SB,DepReq,-4,443,PLT1,,114,25
7430935-05,MC10,06/24/21,SB,DepReq,-100,343,PLT1,,114,26
7430935-05,MC10,06/24/21,LE,SchAgr,180,617,,22325910,114,67
7430935-05,MC10,06/24/21,PP,IndReq,-213,404,,,114,68
7430935-05,MC10,06/24/21,LE,SchAgr,180,686,,22325910,114,74
7430935-05,MC10,06/24/21,PP,IndReq,-229,457,,,114,75
7430935-05,MC10,06/25/21,FH,----->,0,330,,,114,15
7430935-05,MC10,06/25/21,LE,SchAgr,60,390,,22325910,114,16
7430935-05,MC10,06/25/21,LE,SchAgr,360,750,,22325910,114,17
7430935-05,MC10,06/25/21,SB,DepReq,-3,747,PLT1,,114,18
7430935-05,MC10,06/25/21,LE,SchAgr,360,703,,22325910,114,27
7430935-05,MC10,06/25/21,SB,DepReq,-3,700,PLT1,,114,28
7430935-05,MC10,06/25/21,SB,DepReq,-87,613,PLT1,,114,29
7430935-05,MC10,06/25/21,LE,SchAgr,240,644,,22325910,114,69
7430935-05,MC10,06/25/21,PP,IndReq,-196,448,,,114,70
7430935-05,MC10,06/25/21,LE,SchAgr,240,697,,22325910,114,76
7430935-05,MC10,06/25/21,PP,IndReq,-229,468,,,114,77
7430935-05,MC10,06/26/21,LE,SchAgr,300,953,,22325910,114,20
7430935-05,MC10,06/26/21,SB,DepReq,-6,947,PLT1,,114,21
7430935-05,MC10,06/26/21,LE,SchAgr,300,913,,22325910,114,30
7430935-05,MC10,06/26/21,SB,DepReq,-6,907,PLT1,,114,31
7430935-05,MC10,06/26/21,SB,DepReq,-205,702,PLT1,,114,32
7430935-05,MC10,06/26/21,LE,SchAgr,180,628,,22325910,114,71
7430935-05,MC10,06/26/21,PP,IndReq,-197,431,,,114,72
7430935-05,MC10,06/26/21,LE,SchAgr,180,648,,22325910,114,78
7430935-05,MC10,06/26/21,PP,IndReq,-219,429,,,114,79
7430935-05,MC10,06/28/21,LE,SchAgr,300,1016,,22325910,114,23
7430935-05,MC10,06/28/21,SB,DepReq,-4,1012,PLT1,,114,24
7430935-05,MC10,06/28/21,SB,DepReq,-375,637,PLT1,,114,25
7430935-05,MC10,06/28/21,LE,SchAgr,360,1062,,22325910,114,33
7430935-05,MC10,06/28/21,PP,IndReq,-336,726,,,114,34
7430935-05,MC10,06/28/21,SB,DepReq,-30,696,PLT1,,114,35
7430935-05,MC10,06/28/21,LE,SchAgr,240,671,,22325910,114,73
7430935-05,MC10,06/28/21,PP,IndReq,-211,460,,,114,74
7430935-05,MC10,06/28/21,LE,SchAgr,180,609,,22325910,114,80
7430935-05,MC10,06/28/21,PP,IndReq,-200,409,,,114,81
7430935-05,MC10,06/29/21,LE,SchAgr,360,997,,22325910,114,26
7430935-05,MC10,06/29/21,SB,DepReq,-8,989,PLT1,,114,27
7430935-05,MC10,06/29/21,SB,DepReq,-293,696,PLT1,,114,28
7430935-05,MC10,06/29/21,LE,SchAgr,360,1056,,22325910,114,36
7430935-05,MC10,06/29/21,PP,IndReq,-333,723,,,114,37
7430935-05,MC10,06/29/21,LE,SchAgr,300,760,,22325910,114,75
7430935-05,MC10,06/29/21,PP,IndReq,-220,540,,,114,76
7430935-05,MC10,06/29/21,LE,SchAgr,480,889,,22325910,114,82
7430935-05,MC10,06/29/21,PP,IndReq,-195,694,,,114,83
7430935-05,MC10,06/30/21,LE,SchAgr,180,876,,22325910,114,29
7430935-05,MC10,06/30/21,SB,DepReq,-8,868,PLT1,,114,30
7430935-05,MC10,06/30/21,SB,DepReq,-319,549,PLT1,,114,31
7430935-05,MC10,06/30/21,LE,SchAgr,180,903,,22325910,114,38
7430935-05,MC10,06/30/21,PP,IndReq,-345,558,,,114,39
7430935-05,MC10,06/30/21,LE,SchAgr,180,720,,22325910,114,77
7430935-05,MC10,06/30/21,PP,IndReq,-217,503,,,114,78
7430935-05,MC10,06/30/21,LE,SchAgr,120,814,,22325910,114,84
7430935-05,MC10,06/30/21,PP,IndReq,-198,616,,,114,85
7430935-05,MC10,07/01/21,LE,SchAgr,180,729,,22325910,114,32
7430935-05,MC10,07/01/21,SB,DepReq,-5,724,PLT1,,114,33
7430935-05,MC10,07/01/21,LE,SchAgr,180,738,,22325910,114,40
7430935-05,MC10,07/01/21,PP,IndReq,-346,392,,,114,41
7430935-05,MC10,07/01/21,LE,SchAgr,180,683,,22325910,114,79
7430935-05,MC10,07/01/21,PP,IndReq,-313,370,,,114,80
7430935-05,MC10,07/01/21,LE,SchAgr,300,916,,22325910,114,86
7430935-05,MC10,07/01/21,PP,IndReq,-456,460,,,114,87
7430935-05,MC10,07/02/21,WB,Stock,410,410,,,114,1
7430935-05,MC10,07/02/21,SH,SafeSt,-60,350,,,114,2
7430935-05,MC10,07/02/21,SB,DepReq,-2,687,PLT1,,114,3
7430935-05,MC10,07/02/21,LA,ShipNt,360,710,,22325910,114,3
7430935-05,MC10,07/02/21,SB,DepReq,-66,621,PLT1,,114,4
7430935-05,MC10,07/02/21,SB,DepReq,-120,585,PLT1,,114,5
7430935-05,MC10,07/02/21,LE,SchAgr,360,736,,22325910,114,35
7430935-05,MC10,07/02/21,PP,IndReq,-159,577,,,114,36
7430935-05,MC10,07/02/21,LE,SchAgr,300,692,,22325910,114,42
7430935-05,MC10,07/02/21,PP,IndReq,-172,520,,,114,43
7430935-05,MC10,07/02/21,LE,SchAgr,300,670,,22325910,114,81
7430935-05,MC10,07/02/21,PP,IndReq,-167,503,,,114,82
7430935-05,MC10,07/02/21,LE,SchAgr,480,940,,22325910,114,88
7430935-05,MC10,07/02/21,PP,IndReq,-122,818,,,114,89
7430935-05,MC10,07/09/21,WB,Stock,749,749,,,114,1
7430935-05,MC10,07/09/21,SH,SafeSt,-60,689,,,114,2
7430935-05,MC10,07/13/21,LE,SchAgr,180,801,,22325910,114,5
7430935-05,MC10,07/13/21,SB,DepReq,-3,798,PLT1,,114,6
7430935-05,MC10,07/13/21,LE,SchAgr,180,765,,22325910,114,6
7430935-05,MC10,07/13/21,SB,DepReq,-176,622,PLT1,,114,7
7430935-05,MC10,07/13/21,SB,DepReq,-5,760,PLT1,,114,7
7430935-05,MC10,07/13/21,SB,DepReq,-187,573,PLT1,,114,8
7430935-05,MC10,07/13/21,LE,SchAgr,300,877,,22325910,114,37
7430935-05,MC10,07/13/21,PP,IndReq,-187,690,,,114,38
7430935-05,MC10,07/13/21,LE,SchAgr,300,820,,22325910,114,44
7430935-05,MC10,07/13/21,PP,IndReq,-182,638,,,114,45
7430935-05,MC10,07/13/21,LE,SchAgr,360,863,,22325910,114,83
7430935-05,MC10,07/13/21,PP,IndReq,-152,711,,,114,84
7430935-05,MC10,07/13/21,LE,SchAgr,480,1298,,22325910,114,90
7430935-05,MC10,07/13/21,PP,IndReq,-331,967,,,114,91
7430935-05,MC10,07/14/21,LE,SchAgr,420,1042,,22325910,114,8
7430935-05,MC10,07/14/21,SB,DepReq,-11,1031,PLT1,,114,9
7430935-05,MC10,07/14/21,SB,DepReq,-280,751,PLT1,,114,10
7430935-05,MC10,07/14/21,SB,DepReq,-9,984,PLT1,,114,10
7430935-05,MC10,07/14/21,SB,DepReq,-323,661,PLT1,,114,11
7430935-05,MC10,07/14/21,PP,IndReq,-386,604,,,114,40
7430935-05,MC10,07/14/21,LE,SchAgr,240,878,,22325910,114,46
7430935-05,MC10,07/14/21,PP,IndReq,-300,578,,,114,47
7430935-05,MC10,07/14/21,SB,DepReq,-1,577,PLT1,,114,48
7430935-05,MC10,07/14/21,LE,SchAgr,300,1011,,22325910,114,85
7430935-05,MC10,07/14/21,PP,IndReq,-319,692,,,114,86
7430935-05,MC10,07/14/21,LE,SchAgr,420,1387,,22325910,114,92
7430935-05,MC10,07/14/21,PP,IndReq,-457,930,,,114,93
7430935-05,MC10,07/15/21,LE,SchAgr,300,1051,,22325910,114,11
7430935-05,MC10,07/15/21,SB,DepReq,-5,1046,PLT1,,114,12
7430935-05,MC10,07/15/21,LE,SchAgr,300,961,,22325910,114,12
7430935-05,MC10,07/15/21,SB,DepReq,-223,823,PLT1,,114,13
7430935-05,MC10,07/15/21,SB,DepReq,-4,957,PLT1,,114,13
7430935-05,MC10,07/15/21,SB,DepReq,-203,754,PLT1,,114,14
7430935-05,MC10,07/15/21,LE,SchAgr,180,783,,22325910,114,42
7430935-05,MC10,07/15/21,PP,IndReq,-276,507,,,114,43
7430935-05,MC10,07/15/21,LE,SchAgr,240,817,,22325910,114,49
7430935-05,MC10,07/15/21,PP,IndReq,-279,538,,,114,50
7430935-05,MC10,07/15/21,LE,SchAgr,240,932,,22325910,114,87
7430935-05,MC10,07/15/21,PP,IndReq,-337,595,,,114,88
7430935-05,MC10,07/15/21,LE,SchAgr,480,1410,,22325910,114,94
7430935-05,MC10,07/15/21,PP,IndReq,-452,958,,,114,95
7430935-05,MC10,07/16/21,WB,Stock,1191,1191,,,114,1
7430935-05,MC10,07/16/21,SB,DepReq,-1,1130,PLT1,,114,3
7430935-05,MC10,07/16/21,LE,SchAgr,360,1183,,22325910,114,14
7430935-05,MC10,07/16/21,SB,DepReq,-5,1178,PLT1,,114,15
7430935-05,MC10,07/16/21,FH,----->,0,754,,,114,15
7430935-05,MC10,07/16/21,SB,DepReq,-356,822,PLT1,,114,16
7430935-05,MC10,07/16/21,LE,SchAgr,360,1114,,22325910,114,16
7430935-05,MC10,07/16/21,SB,DepReq,-438,675,PLT1,,114,18
7430935-05,MC10,07/16/21,LE,SchAgr,360,867,,22325910,114,44
7430935-05,MC10,07/16/21,PP,IndReq,-279,588,,,114,45
7430935-05,MC10,07/16/21,SB,DepReq,-1,587,PLT1,,114,46
7430935-05,MC10,07/16/21,LE,SchAgr,360,898,,22325910,114,51
7430935-05,MC10,07/16/21,PP,IndReq,-284,614,,,114,52
7430935-05,MC10,07/16/21,SB,DepReq,-1,613,PLT1,,114,53
7430935-05,MC10,07/16/21,LE,SchAgr,240,835,,22325910,114,89
7430935-05,MC10,07/16/21,PP,IndReq,-300,535,,,114,90
7430935-05,MC10,07/16/21,LE,SchAgr,180,1138,,22325910,114,96
7430935-05,MC10,07/16/21,PP,IndReq,-466,672,,,114,97
7430935-05,MC10,07/17/21,SH,SafeSt,-60,725,,,114,2
7430935-05,MC10,07/17/21,SB,DepReq,-5,960,PLT1,,114,4
7430935-05,MC10,07/17/21,LA,ShipNt,240,986,,22325910,114,5
7430935-05,MC10,07/17/21,SB,DepReq,-227,733,PLT1,,114,5
7430935-05,MC10,07/17/21,SB,DepReq,-6,980,PLT1,,114,6
7430935-05,MC10,07/17/21,SB,DepReq,-280,700,PLT1,,114,7
7430935-05,MC10,07/17/21,FH,----->,0,822,,,114,17
7430935-05,MC10,07/17/21,LE,SchAgr,180,1002,,22325910,114,18
7430935-05,MC10,07/17/21,SB,DepReq,-6,996,PLT1,,114,19
7430935-05,MC10,07/17/21,SB,DepReq,-308,688,PLT1,,114,20
7430935-05,MC10,07/17/21,LE,SchAgr,360,947,,22325910,114,47
7430935-05,MC10,07/17/21,LE,SchAgr,360,973,,22325910,114,54
7430935-05,MC10,07/17/21,PP,IndReq,-231,742,,,114,55
7430935-05,MC10,07/17/21,LE,SchAgr,180,715,,22325910,114,91
7430935-05,MC10,07/17/21,PP,IndReq,-274,441,,,114,92
7430935-05,MC10,07/17/21,LE,SchAgr,180,852,,22325910,114,98
7430935-05,MC10,07/17/21,PP,IndReq,-454,398,,,114,99
7430935-05,MC10,07/19/21,SB,DepReq,-10,1023,PLT1,,114,7
7430935-05,MC10,07/19/21,SB,DepReq,-350,673,PLT1,,114,8
7430935-05,MC10,07/19/21,LE,SchAgr,300,1000,,22325910,114,8
7430935-05,MC10,07/19/21,SB,DepReq,-14,986,PLT1,,114,9
7430935-05,MC10,07/19/21,LE,SchAgr,360,1048,,22325910,114,21
7430935-05,MC10,07/19/21,SB,DepReq,-15,1033,PLT1,,114,22
7430935-05,MC10,07/19/21,LE,SchAgr,300,1000,,22325910,114,22
7430935-05,MC10,07/19/21,SB,DepReq,-345,688,PLT1,,114,23
7430935-05,MC10,07/19/21,SB,DepReq,-13,987,PLT1,,114,23
7430935-05,MC10,07/19/21,SB,DepReq,-333,654,PLT1,,114,24
7430935-05,MC10,07/19/21,LE,SchAgr,300,1044,,22325910,114,49
7430935-05,MC10,07/19/21,PP,IndReq,-331,713,,,114,50
7430935-05,MC10,07/19/21,SB,DepReq,-2,711,PLT1,,114,51
7430935-05,MC10,07/19/21,LE,SchAgr,300,1042,,22325910,114,56
7430935-05,MC10,07/19/21,PP,IndReq,-364,678,,,114,57
7430935-05,MC10,07/19/21,SB,DepReq,-2,676,PLT1,,114,58
7430935-05,MC10,07/19/21,LE,SchAgr,180,621,,22325910,114,93
7430935-05,MC10,07/19/21,PP,IndReq,-202,419,,,114,94
7430935-05,MC10,07/19/21,LE,SchAgr,240,638,,22325910,114,100
7430935-05,MC10,07/19/21,PP,IndReq,-196,442,,,114,101
7430935-05,MC10,07/20/21,WB,Stock,965,965,,,114,1
7430935-05,MC10,07/20/21,SH,SafeSt,-60,905,,,114,2
7430935-05,MC10,07/20/21,SB,DepReq,-6,899,PLT1,,114,3
7430935-05,MC10,07/20/21,SB,DepReq,-261,638,PLT1,,114,4
7430935-05,MC10,07/20/21,SB,DepReq,-13,960,PLT1,,114,10
7430935-05,MC10,07/20/21,LE,SchAgr,300,944,,22325910,114,11
7430935-05,MC10,07/20/21,SB,DepReq,-10,934,PLT1,,114,12
7430935-05,MC10,07/20/21,SB,DepReq,-307,627,PLT1,,114,13
7430935-05,MC10,07/20/21,LE,SchAgr,240,928,,22325910,114,24
7430935-05,MC10,07/20/21,SB,DepReq,-13,915,PLT1,,114,25
7430935-05,MC10,07/20/21,LE,SchAgr,180,834,,22325910,114,25
7430935-05,MC10,07/20/21,SB,DepReq,-307,608,PLT1,,114,26
7430935-05,MC10,07/20/21,SB,DepReq,-11,823,PLT1,,114,26
7430935-05,MC10,07/20/21,SB,DepReq,-302,521,PLT1,,114,27
7430935-05,MC10,07/20/21,LE,SchAgr,300,1011,,22325910,114,52
7430935-05,MC10,07/20/21,PP,IndReq,-370,641,,,114,53
7430935-05,MC10,07/20/21,SB,DepReq,-2,639,PLT1,,114,54
7430935-05,MC10,07/20/21,LE,SchAgr,240,916,,22325910,114,59
7430935-05,MC10,07/20/21,PP,IndReq,-351,565,,,114,60
7430935-05,MC10,07/20/21,SB,DepReq,-2,563,PLT1,,114,61
7430935-05,MC10,07/20/21,LE,SchAgr,240,659,,22325910,114,95
7430935-05,MC10,07/20/21,PP,IndReq,-188,471,,,114,96
7430935-05,MC10,07/20/21,LE,SchAgr,180,622,,22325910,114,102
7430935-05,MC10,07/20/21,PP,IndReq,-191,431,,,114,103
7430935-05,MC10,07/21/21,LA,ShipNt,300,938,,22325910,114,5
