material,plant,demand_date,mrp_element,change_quantity,total_quantity,storage_location,supplier_nr,planner,line_index
7420657-10,MC10,05/11/21,DepReq,-1,347,PLT1,,114,3
7420657-10,MC10,05/19/21,DepReq,-13,334,PLT1,,114,4
7420657-10,MC10,05/19/21,DepReq,-2,332,PLT1,,114,5
7420657-10,MC10,05/20/21,Stock,390,390,,,114,1
7420657-10,MC10,05/20/21,SafeSt,-42,348,,,114,2
7420657-10,MC10,05/20/21,ShipNt,168,500,,21420511,114,6
7420657-10,MC10,05/20/21,DepReq,-7,493,PLT1,,114,7
7420657-10,MC10,05/20/21,DepReq,-2,491,PLT1,,114,8
7420657-10,MC10,05/20/21,DepReq,-188,303,PLT1,,114,9
7420657-10,MC10,05/20/21,DepReq,-28,275,PLT1,,114,10
7420657-10,MC10,05/21/21,SchAgr,252,527,,21420511,114,11
7420657-10,MC10,05/21/21,DepReq,-8,519,PLT1,,114,12
7420657-10,MC10,05/21/21,DepReq,-3,516,PLT1,,114,13
7420657-10,MC10,05/21/21,DepReq,-79,437,PLT1,,114,14
7420657-10,MC10,05/21/21,DepReq,-19,418,PLT1,,114,15
7420657-10,MC10,05/22/21,DepReq,-1,553,PLT1,,114,3
7420657-10,MC10,05/22/21,DepReq,-58,495,PLT1,,114,4
7420657-10,MC10,05/22/21,DepReq,-17,478,PLT1,,114,5
7420657-10,MC10,05/22/21,DepReq,-1,417,PLT1,,114,16
7420657-10,MC10,05/22/21,DepReq,-4,413,PLT1,,114,17
7420657-10,MC10,05/22/21,DepReq,-34,267,PLT1,,114,19
7420657-10,MC10,05/23/21,Stock,596,596,,,114,1
7420657-10,MC10,05/23/21,SafeSt,-42,554,,,114,2
7420657-10,MC10,05/24/21,DepReq,-5,473,PLT1,,114,6
7420657-10,MC10,05/24/21,DepReq,-4,469,PLT1,,114,7
7420657-10,MC10,05/24/21,DepReq,-140,329,PLT1,,114,8
7420657-10,MC10,05/24/21,DepReq,-46,283,PLT1,,114,9
7420657-10,MC10,05/24/21,----->,0,267,,,114,20
7420657-10,MC10,05/24/21,SchAgr,210,477,,21420511,114,21
7420657-10,MC10,05/24/21,DepReq,-6,471,PLT1,,114,22
7420657-10,MC10,05/24/21,DepReq,-4,467,PLT1,,114,23
7420657-10,MC10,05/24/21,DepReq,-139,328,PLT1,,114,24
7420657-10,MC10,05/24/21,DepReq,-46,282,PLT1,,114,25
7420657-10,MC10,05/25/21,SchAgr,273,556,,21420511,114,10
7420657-10,MC10,05/25/21,DepReq,-4,552,PLT1,,114,11
7420657-10,MC10,05/25/21,DepReq,-4,548,PLT1,,114,12
7420657-10,MC10,05/25/21,DepReq,-39,509,PLT1,,114,13
7420657-10,MC10,05/25/21,DepReq,-25,484,PLT1,,114,14
7420657-10,MC10,05/25/21,SchAgr,273,555,,21420511,114,26
7420657-10,MC10,05/25/21,DepReq,-3,552,PLT1,,114,27
7420657-10,MC10,05/25/21,DepReq,-3,549,PLT1,,114,28
7420657-10,MC10,05/25/21,DepReq,-39,510,PLT1,,114,29
7420657-10,MC10,05/25/21,DepReq,-25,485,PLT1,,114,30
7420657-10,MC10,05/26/21,DepReq,-1,550,PLT1,,114,3
7420657-10,MC10,05/26/21,DepReq,-1,482,PLT1,,114,3
7420657-10,MC10,05/26/21,SchAgr,294,778,,21420511,114,15
7420657-10,MC10,05/26/21,DepReq,-3,775,PLT1,,114,16
7420657-10,MC10,05/26/21,DepReq,-1,774,PLT1,,114,17
7420657-10,MC10,05/26/21,DepReq,-154,620,PLT1,,114,18
7420657-10,MC10,05/26/21,DepReq,-44,576,PLT1,,114,19
7420657-10,MC10,05/26/21,SchAgr,294,779,,21420511,114,31
7420657-10,MC10,05/26/21,DepReq,-4,775,PLT1,,114,32
