initial_creation_date,last_change_date,material,material_9,material_7,ai,mat_description,mat_description_eng,plant,planner,replenishment_type,rounding_value,lot_size,minimum_lot_size,safety_time_days,safety_time_ind,leadtime_hours,planning_time_fence,planned_delivery_time,safety_stock,unit_of_quantity,length,width,height,uom_lwh,volume,unit_of_volume,gross_weight,net_weight,unit_of_weight,stacking_factor,material_group,run_out_date,proc_type,part_type,character,init_upg,init_use_type,procurement_type,storage_location,bwd_consumption_per,fwd_consumption_per,pps_planning_calendar,factory_calendar,mrp_group,mixed_mrp,strategy_group,consumption_mode,abc_indicator,spab_indicator,status,status_valid_from,bulk_material,omb_part,warehouse_number,storage_type_stock_placement,storage_type_stock_removement,release,release_date,release_type,release_action_code,active_material,plant_calendar,document_number,sid_client,snapdate,snaptimestamp,load_date,load_timestamp,_load_date
2/9/2018,12/27/2021,7420657-10,742065710,7420657,10,TRAEGER STOSSFAENGER HINTEN ECE,SUPPORT BUMPER RR ECE,MC10,114,P1,21,MC,0,2,2,,3,1,42,EA,0,0,0,,0,,5432,5432,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,A,,S,,,,105,1R1,1R1,,,,,,,856633184,MCPCLNT001,12/28/2021,14:36.0,12/28/2021,27:22.0,12/28/2021
2/9/2018,12/27/2021,7420657-10,742065710,7420657,10,TRAEGER STOSSFAENGER HINTEN ECE,SUPPORT BUMPER RR ECE,MC10,114,P1,21,MC,0,2,2,,3,1,42,EA,0,0,0,,0,,5432,5432,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,A,,S,,,,202,,,,,,,,,856633184,MCPCLNT001,12/28/2021,14:36.0,12/28/2021,27:22.0,12/28/2021
2/9/2018,4/5/2021,7420657-10,742065710,7420657,10,TRAEGER STOSSFAENGER HINTEN ECE,SUPPORT BUMPER RR ECE,MC10,114,P1,21,MC,0,2,2,,3,1,42,EA,0,0,0,,0,,5432,5432,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,A,,S,,,,202,,,,,,,,,779075449,MCPCLNT001,4/8/2021,15:29.0,5/25/2021,16:45.0,5/25/2021
2/9/2018,4/5/2021,7420657-10,742065710,7420657,10,TRAEGER STOSSFAENGER HINTEN ECE,SUPPORT BUMPER RR ECE,MC10,114,P1,21,MC,0,2,2,,3,1,42,EA,0,0,0,,0,,5432,5432,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,A,,S,,,,105,1R1,1R1,,,,,,,779075449,MCPCLNT001,4/8/2021,15:29.0,5/25/2021,16:45.0,5/25/2021
2/9/2018,12/28/2020,7420657-10,742065710,7420657,10,TRAEGER STOSSFAENGER HINTEN ECE,SUPPORT BUMPER RR ECE,MC10,114,P1,21,MC,0,2,2,,3,1,42,EA,0,0,0,,0,,6391,6391,GRM,0,PRODPART,,,,,,,F,,0,0,90,,,,,,A,,S,,,,202,,,,,,,,,756639064,MCPCLNT001,1/14/2021,35:38.0,5/24/2021,29:05.0,5/24/2021
2/9/2018,12/28/2020,7420657-10,742065710,7420657,10,TRAEGER STOSSFAENGER HINTEN ECE,SUPPORT BUMPER RR ECE,MC10,114,P1,21,MC,0,2,2,,3,1,42,EA,0,0,0,,0,,6391,6391,GRM,0,PRODPART,,,,,,,F,,0,0,90,,,,,,A,,S,,,,105,1R1,1R1,,,,,,,756639064,MCPCLNT001,1/14/2021,35:38.0,5/24/2021,29:05.0,5/24/2021
2/9/2018,2/10/2021,7420657-10,742065710,7420657,10,TRAEGER STOSSFAENGER HINTEN ECE,SUPPORT BUMPER RR ECE,MC10,114,P1,21,MC,0,2,2,,3,1,42,EA,0,0,0,,0,,5432,5432,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,A,,S,,,,105,1R1,1R1,,,,,,,768552673,MCPCLNT001,3/1/2021,51:08.0,5/24/2021,46:28.0,5/24/2021
2/9/2018,2/10/2021,7420657-10,742065710,7420657,10,TRAEGER STOSSFAENGER HINTEN ECE,SUPPORT BUMPER RR ECE,MC10,114,P1,21,MC,0,2,2,,3,1,42,EA,0,0,0,,0,,5432,5432,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,A,,S,,,,202,,,,,,,,,768552673,MCPCLNT001,3/1/2021,51:08.0,5/24/2021,46:28.0,5/24/2021
