material,plant,mrp_area,demand_date,mrp_element_cd,shipping_notification,container_info,mrp_element,change_quantity,total_quantity,storage_location,supplier_nr,planner,split_indicator,line_index,document_uuid,sid_client,snapdate,snaptime,load_date,load_timestamp,_load_date
7430935-05,MC10,,05/11/21,SB,,,DepReq,-1,526,PLT1,,114,,3,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/20/21,WB,,,Stock,587,587,,,114,,1,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/20/21,SH,,,SafeSt,-60,527,,,114,,2,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/20/21,LA,185083075,B5050,ShipNt,180,706,,22325910,114,,4,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/20/21,SB,,,DepReq,-6,700,PLT1,,114,,5,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/20/21,SB,,,DepReq,-198,502,PLT1,,114,,6,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/21/21,LA,185083086,A8019,ShipNt,180,682,,22325910,114,,7,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/21/21,SB,,,DepReq,-4,678,PLT1,,114,,8,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/21/21,SB,,,DepReq,-274,404,PLT1,,114,,9,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/22/21,SB,,,DepReq,-52,409,PLT1,,114,,3,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/22/21,LE,,,SchAgr,180,584,,22325910,114,,10,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/22/21,SB,,,DepReq,-174,410,PLT1,,114,,11,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/23/21,WB,,,Stock,521,521,,,114,,1,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/23/21,SH,,,SafeSt,-60,461,,,114,,2,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/24/21,LA,185090105,A8098,ShipNt,240,649,,22325910,114,,4,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/24/21,SB,,,DepReq,-2,647,PLT1,,114,,5,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/24/21,SB,,,DepReq,-218,429,PLT1,,114,,6,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/24/21,SB,,,DepReq,-2,648,PLT1,,114,,13,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/24/21,SB,,,DepReq,-216,432,PLT1,,114,,14,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/25/21,LA,185090281,12342,ShipNt,240,669,,22325910,114,,7,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/25/21,SB,,,DepReq,-2,667,PLT1,,114,,8,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/25/21,SB,,,DepReq,-147,520,PLT1,,114,,9,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/25/21,FH,,,----->,0,432,,,114,,15,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/25/21,LE,,,SchAgr,240,672,,22325910,114,,16,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/25/21,SB,,,DepReq,-3,669,PLT1,,114,,17,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/25/21,SB,,,DepReq,-148,521,PLT1,,114,,18,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/26/21,LE,,,SchAgr,240,760,,22325910,114,,10,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/26/21,SB,,,DepReq,-3,757,PLT1,,114,,11,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/26/21,SB,,,DepReq,-230,527,PLT1,,114,,12,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/26/21,LE,,,SchAgr,240,761,,22325910,114,,19,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/26/21,SB,,,DepReq,-2,759,PLT1,,114,,20,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/27/21,LE,,,SchAgr,180,707,,22325910,114,,13,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/27/21,SB,,,DepReq,-256,451,PLT1,,114,,14,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/27/21,LE,,,SchAgr,180,710,,22325910,114,,22,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/27/21,SB,,,DepReq,-2,708,PLT1,,114,,23,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/27/21,SB,,,DepReq,-256,452,PLT1,,114,,24,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/28/21,FH,,,----->,0,451,,,114,,15,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/28/21,LE,,,SchAgr,120,571,,22325910,114,,16,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/28/21,SB,,,DepReq,-5,566,PLT1,,114,,17,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/28/21,SB,,,DepReq,-250,316,PLT1,,114,,18,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/28/21,LE,,,SchAgr,120,572,,22325910,114,,25,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/28/21,SB,,,DepReq,-5,567,PLT1,,114,,26,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/28/21,SB,,,DepReq,-252,315,PLT1,,114,,27,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/29/21,LE,,,SchAgr,180,496,,22325910,114,,19,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/29/21,SB,,,DepReq,-4,492,PLT1,,114,,20,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/29/21,SB,,,DepReq,-188,304,PLT1,,114,,21,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,05/29/21,LE,,,SchAgr,240,555,,22325910,114,,28,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/29/21,SB,,,DepReq,-5,550,PLT1,,114,,29,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,05/29/21,SB,,,DepReq,-187,363,PLT1,,114,,30,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,06/01/21,LE,,,SchAgr,300,604,,22325910,114,,22,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,06/01/21,SB,,,DepReq,-8,596,PLT1,,114,,23,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,06/01/21,SB,,,DepReq,-66,530,PLT1,,114,,24,44208841d2a4fbaf336fc692eccc0923,MCP,5/23/21,11:12.0,5/23/21,36:06.0,5/23/21
7430935-05,MC10,,06/01/21,LE,,,SchAgr,300,663,,22325910,114,,31,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,06/01/21,PP,,,IndReq,-5,658,,,114,,32,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,06/01/21,SB,,,DepReq,-5,653,PLT1,,114,,33,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
7430935-05,MC10,,06/01/21,SB,,,DepReq,-61,592,PLT1,,114,,34,b814d26c6f667edc83f031081c2ecde9,MCP,5/20/21,13:24.0,5/20/21,35:28.0,5/20/21
