mandt,matnr,aline,cdate,ctime,dat00,delb0,extra,umdat,auskt,mng01,mng02,p_ingestday,p_ingesttime
1,807165907,666,11/11/21,7:19:30,11/13/21,SchAgr,F3KXYH3/00001*,11/12/21,10,480,1,429.00,12/03/21,19
1,807165907,0,11/13/21,7:19:38,11/13/21,SafeSt,SafetyStock,,,120.000-,1,318.00,12/03/21,19
1,807165907,0,02/02/22,7:19:45,02/02/22,SafeSt,SafetyStock,,,120.000-,1,325.00,02/04/22,9
1,807165907,3611,02/02/22,7:19:45,02/17/22,SchAgr,F3KXYH3/00001,02/16/22,30,400,1,438.00,02/04/22,9
1,807165907,3657,02/02/22,7:19:45,03/01/22,SchAgr,F3KXYH3/00001,02/28/22,30,400,1,424.00,02/04/22,9
1,807165907,0,02/09/22,7:19:40,02/09/22,SafeSt,SafetyStock,,,120.000-,1,318.00,02/11/22,9
1,807165907,286,02/09/22,7:19:40,02/10/22,SchAgr,F3KXYH3/00001*,02/09/22,10,80,1,115.00,02/11/22,9
1,807165907,1061,04/06/22,7:19:45,04/09/22,SchAgr,F3KXYH3/00001,04/08/22,30,80,1,162.00,04/08/22,9
1,807165907,2128,04/06/22,7:19:45,04/13/22,SchAgr,F3KXYH3/00001,04/12/22,30,400,1,542.00,04/08/22,9
1,807165907,3545,04/06/22,7:19:45,04/25/22,SchAgr,F3KXYH3/00001,04/23/22,30,320,1,316.00,04/08/22,9
1,807165907,3581,04/06/22,7:19:45,05/05/22,SchAgr,F3KXYH3/00001,05/04/22,30,400,1,427.00,04/08/22,9
1,807165907,3590,04/06/22,7:19:45,05/09/22,SchAgr,F3KXYH3/00001,05/07/22,30,400,1,470.00,04/08/22,9
1,807165907,0,02/18/22,7:20:07,02/18/22,SafeSt,SafetyStock,,,120.000-,1,471.00,02/20/22,9
1,807165907,0,11/22/21,4:04:59,11/22/21,SafeSt,SafetyStock,,,120.000-,1,449.00,12/03/21,19
1,807165907,0,12/02/21,7:19:40,12/02/21,SafeSt,SafetyStock,,,120.000-,1,272.00,12/03/21,19
1,807165907,0,02/19/22,7:20:14,02/19/22,SafeSt,SafetyStock,,,120.000-,1,386.00,02/21/22,9
1,807165907,1191,03/05/22,7:20:10,03/09/22,SchAgr,F3KXYH3/00001,03/08/22,30,80,1,252.00,03/07/22,9
1,807165907,0,01/21/22,7:19:55,01/21/22,SafeSt,SafetyStock,,,120.000-,1,338.00,01/23/22,9
1,807165907,860,03/07/22,4:05:33,03/09/22,SchAgr,F3KXYH3/00001*,03/08/22,10,80,1,244.00,03/09/22,9
1,807165907,0,01/15/22,7:19:40,01/15/22,SafeSt,SafetyStock,,,120.000-,1,699.00,01/18/22,9
1,807165907,0,02/07/22,4:05:18,02/07/22,SafeSt,SafetyStock,,,120.000-,1,374.00,02/09/22,9
1,807165907,1070,02/07/22,4:05:18,02/10/22,SchAgr,F3KXYH3/00001,02/09/22,30,80,1,111.00,02/09/22,9
