initial_creation_date,last_change_date,material,material_9,material_7,ai,mat_description,mat_description_eng,plant,planner,replenishment_type,rounding_value,lot_size,minimum_lot_size,safety_time_days,safety_time_ind,leadtime_hours,planning_time_fence,planned_delivery_time,safety_stock,unit_of_quantity,length,width,height,uom_lwh,volume,unit_of_volume,gross_weight,net_weight,unit_of_weight,stacking_factor,material_group,run_out_date,proc_type,part_type,character,init_upg,init_use_type,procurement_type,storage_location,bwd_consumption_per,fwd_consumption_per,pps_planning_calendar,factory_calendar,mrp_group,mixed_mrp,strategy_group,consumption_mode,abc_indicator,spab_indicator,status,status_valid_from,bulk_material,omb_part,warehouse_number,storage_type_stock_placement,storage_type_stock_removement,release,release_date,release_type,release_action_code,active_material,plant_calendar,document_number,sid_client,snapdate,snaptimestamp,load_date,load_timestamp,_load_date
2020-12-09,2021-09-04,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,04,2,,9,7,80.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,105,1R1,1Q1,,,,,,,0000000822969213,MCPCLNT001,2021-09-04,2021-09-04 04:00:34.000,2021-09-04,2021-09-04 09:02:15.000,2021-09-04
2020-12-09,2021-09-04,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,04,2,,9,7,80.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,202,,,,,,,,,0000000822969213,MCPCLNT001,2021-09-04,2021-09-04 04:00:34.000,2021-09-04,2021-09-04 09:02:15.000,2021-09-04
2020-12-09,2022-03-24,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,04,2,,9,7,80.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,202,,,,,,,,,0000000882772010,MCPCLNT001,2022-03-25,2022-03-25 04:03:21.000,2022-03-25,2022-03-25 09:06:21.000,2022-03-25
2020-12-09,2022-03-24,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,04,2,,9,7,80.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,105,1R1,1Q1,,,,,,,0000000882772010,MCPCLNT001,2022-03-25,2022-03-25 04:03:21.000,2022-03-25,2022-03-25 09:06:21.000,2022-03-25
2020-12-09,2022-03-15,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,05,2,,9,7,80.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,105,1R1,1Q1,,,,,,,0000000879921156,MCPCLNT001,2022-03-16,2022-03-16 04:01:42.000,2022-03-16,2022-03-16 09:09:41.000,2022-03-16
2020-12-09,2022-03-15,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,05,2,,9,7,80.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,202,,,,,,,,,0000000879921156,MCPCLNT001,2022-03-16,2022-03-16 04:01:42.000,2022-03-16,2022-03-16 09:09:41.000,2022-03-16
2020-12-09,2021-12-27,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,04,2,,9,7,80.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,105,1R1,1Q1,,,,,,,0000000856662595,MCPCLNT001,2021-12-28,2021-12-28 04:34:05.000,2021-12-28,2021-12-28 12:27:38.000,2021-12-28
2020-12-09,2021-12-27,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,04,2,,9,7,80.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,202,,,,,,,,,0000000856662595,MCPCLNT001,2021-12-28,2021-12-28 04:34:05.000,2021-12-28,2021-12-28 12:27:38.000,2021-12-28
2020-12-09,2022-02-05,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,05,2,,9,7,80.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,105,1R1,1Q1,,,,,,,0000000868394768,MCPCLNT001,2022-02-06,2022-02-06 04:00:39.000,2022-02-06,2022-02-06 10:02:18.000,2022-02-06
2020-12-09,2022-02-05,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,05,2,,9,7,80.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,202,,,,,,,,,0000000868394768,MCPCLNT001,2022-02-06,2022-02-06 04:00:39.000,2022-02-06,2022-02-06 10:02:18.000,2022-02-06
2020-12-09,2022-03-31,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,04,2,,9,7,80.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,202,,,,,,,,,0000000885052508,MCPCLNT001,2022-04-01,2022-04-01 04:01:34.000,2022-04-01,2022-04-01 09:16:20.000,2022-04-01
2020-12-09,2022-03-31,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,04,2,,9,7,80.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,105,1R1,1Q1,,,,,,,0000000885052508,MCPCLNT001,2022-04-01,2022-04-01 04:01:34.000,2022-04-01,2022-04-01 09:16:20.000,2022-04-01
2020-12-09,2021-07-27,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,04,2,,9,7,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,S,,,,202,,,,,,,,,0000000811865788,MCPCLNT001,2021-07-28,2021-07-28 04:00:55.000,2021-07-28,2021-07-28 09:03:28.000,2021-07-28
2020-12-09,2021-07-27,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,04,2,,9,7,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,S,,,,105,1R1,1Q1,,,,,,,0000000811865788,MCPCLNT001,2021-07-28,2021-07-28 04:00:55.000,2021-07-28,2021-07-28 09:03:28.000,2021-07-28
2020-12-09,2022-02-20,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,05,2,,9,7,80.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,105,1R1,1Q1,,,,,,,0000000872880658,MCPCLNT001,2022-02-21,2022-02-21 04:00:54.000,2022-02-21,2022-02-21 10:03:20.000,2022-02-21
2020-12-09,2021-02-01,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,04,2,,9,7,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1880.0000,1880.0000,GRM,0,PRODPART,,,,,,,F,,0,0,050,,,,,,E,,S,,,,105,1R1,1Q1,,,,,,,0000000768631272,MCPCLNT001,2021-03-01,2021-03-01 14:31:19.000,2021-05-24,2021-05-24 19:30:42.000,2021-05-24
2020-12-09,2022-02-20,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,05,2,,9,7,80.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,202,,,,,,,,,0000000872880658,MCPCLNT001,2022-02-21,2022-02-21 04:00:54.000,2022-02-21,2022-02-21 10:03:20.000,2022-02-21
2020-12-09,2021-02-01,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,04,2,,9,7,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1880.0000,1880.0000,GRM,0,PRODPART,,,,,,,F,,0,0,050,,,,,,E,,S,,,,202,,,,,,,,,0000000768631272,MCPCLNT001,2021-03-01,2021-03-01 14:31:19.000,2021-05-24,2021-05-24 19:30:42.000,2021-05-24
2020-12-09,2021-09-02,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,04,2,,9,7,80.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,105,1R1,1Q1,,,,,,,0000000822680123,MCPCLNT001,2021-09-03,2021-09-03 04:00:40.000,2021-09-03,2021-09-03 09:02:46.000,2021-09-03
2020-12-09,2022-01-12,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,05,2,,9,7,80.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,105,1R1,1Q1,,,,,,,0000000861244004,MCPCLNT001,2022-01-13,2022-01-13 04:07:43.000,2022-01-13,2022-01-13 12:03:24.000,2022-01-13
2020-12-09,2022-01-12,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,05,2,,9,7,80.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,202,,,,,,,,,0000000861244004,MCPCLNT001,2022-01-13,2022-01-13 04:07:43.000,2022-01-13,2022-01-13 12:03:24.000,2022-01-13
2020-12-09,2021-09-02,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,04,2,,9,7,80.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,202,,,,,,,,,0000000822680123,MCPCLNT001,2021-09-03,2021-09-03 04:00:40.000,2021-09-03,2021-09-03 09:02:46.000,2021-09-03
2020-12-09,2021-08-26,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,04,2,,9,7,80.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,202,,,,,,,,,0000000820543450,MCPCLNT001,2021-08-27,2021-08-27 04:00:37.000,2021-08-27,2021-08-27 09:02:52.000,2021-08-27
2020-12-09,2021-08-26,7951486-03,795148603,7951486,03,LU FUSSMATTEN LL ANTHRAZIT,LU FLOOR MATS LHD ANTHRACITE,MC10,M11,P1,40.0000,MC,0.0000,04,2,,9,7,80.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1740.0000,1740.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,105,1R1,1Q1,,,,,,,0000000820543450,MCPCLNT001,2021-08-27,2021-08-27 04:00:37.000,2021-08-27,2021-08-27 09:02:52.000,2021-08-27
