mandt,matnr,aline,cdate,ctime,dat00,delb0,extra,umdat,auskt,mng01,mng02,p_ingestday,p_ingesttime
1,807517908,0,10/23/21,7:19:54,10/23/21,SafeSt,,,,,,12/03/21,19
1,807517908,0,11/09/21,7:20:25,11/09/21,SafeSt,SafetyStock,,,3.000-,2,12/03/21,19
1,807517908,31,10/29/21,7:20:18,12/17/21,ShLine,,,,,,12/03/21,19
1,807517908,3,11/06/21,7:23:14,11/15/21,SchAgr,,,,,,12/03/21,19
1,807517908,0,11/29/21,4:04:56,11/29/21,SafeSt,SafetyStock,,,3.000-,1,12/03/21,19
1,807517908,0,11/19/21,7:19:35,11/19/21,SafeSt,SafetyStock,,,3.000-,1,12/03/21,19
1,807517908,1,10/25/21,4:05:29,10/25/21,Stock,,,,,,12/03/21,19
1,807517908,16,11/16/21,7:19:33,12/17/21,ShLine,0200208110/00003,12/15/21,10,1,11,12/03/21,19
1,807517908,3,10/23/21,7:19:54,10/28/21,SchAgr,,,,,,12/03/21,19
1,807517908,3,11/18/21,7:20:03,11/29/21,SchAgr,F3JJLRK/00001,11/24/21,30,3,4,12/03/21,19
1,807517908,0,11/30/21,7:19:42,11/30/21,SafeSt,SafetyStock,,,3.000-,3,12/03/21,19
1,807517908,18,11/10/21,7:19:43,12/17/21,ShLine,0200208110/00003,12/03/21,10,1,10,12/03/21,19
1,807517908,2,11/15/21,4:04:48,11/15/21,ShipNt,0185480151/F3JJLRK,11/12/21,10,3,4,12/03/21,19
1,807517908,0,11/06/21,7:23:14,11/06/21,SafeSt,,,,,,12/03/21,19
1,807517908,0,11/17/21,7:19:39,11/17/21,SafeSt,SafetyStock,,,3.000-,3,12/03/21,19
1,807517908,20,11/06/21,7:23:14,12/17/21,ShLine,,,,,,12/03/21,19
1,807517908,2,11/20/21,7:19:28,11/29/21,SchAgr,F3JJLRK/00001*,11/24/21,10,3,4,12/03/21,19
1,807517908,0,11/13/21,7:19:42,11/13/21,SafeSt,SafetyStock,,,3.000-,1,12/03/21,19
1,807517908,2,11/12/21,7:19:41,11/15/21,ShipNt,0185480151/F3JJLRK,11/12/21,10,3,4,12/03/21,19
1,807517908,2,11/10/21,7:19:43,11/15/21,SchAgr,F3JJLRK/00001*,11/12/21,10,3,4,12/03/21,19
1,807517908,0,11/16/21,7:19:33,11/16/21,SafeSt,SafetyStock,,,3.000-,3,12/03/21,19
1,807517908,18,11/11/21,7:19:33,12/17/21,ShLine,0200208110/00003,12/03/21,10,1,10,12/03/21,19
1,807517908,0,11/02/21,7:23:29,11/02/21,SafeSt,,,,,,12/03/21,19
1,807517908,1,10/22/21,7:20:13,10/22/21,Stock,,,,,,12/03/21,19
1,807517908,5,10/26/21,7:20:13,11/01/21,SchAgr,,,,,,12/03/21,19
1,807517908,2,11/11/21,7:19:33,11/15/21,SchAgr,F3JJLRK/00001*,11/12/21,10,3,4,12/03/21,19
1,807517908,0,11/20/21,7:19:28,11/20/21,SafeSt,SafetyStock,,,3.000-,1,12/03/21,19
1,807517908,3,10/22/21,7:20:13,10/28/21,SchAgr,,,,,,12/03/21,19
1,807517908,0,10/27/21,7:19:56,10/27/21,SafeSt,,,,,,12/03/21,19
1,807517908,0,10/30/21,7:23:39,10/30/21,SafeSt,,,,,,12/03/21,19
1,807517908,2,10/28/21,7:19:56,10/28/21,ShipNt,,,,,,12/03/21,19
1,807517908,2,11/13/21,7:19:42,11/15/21,ShipNt,0185480151/F3JJLRK,11/13/21,10,3,4,12/03/21,19
1,807517908,0,10/25/21,4:05:29,10/25/21,SafeSt,,,,,,12/03/21,19
1,807517908,0,10/28/21,7:19:56,10/28/21,SafeSt,,,,,,12/03/21,19
1,807517908,3,10/25/21,4:05:29,10/28/21,SchAgr,,,,,,12/03/21,19
1,807517908,3,10/29/21,7:20:18,11/01/21,ShipNt,,,,,,12/03/21,19
1,807517908,0,11/18/21,7:20:03,11/18/21,SafeSt,SafetyStock,,,3.000-,2,12/03/21,19
1,807517908,2,11/22/21,4:05:02,11/29/21,SchAgr,F3JJLRK/00001*,11/24/21,10,3,4,12/03/21,19
1,807517908,0,10/22/21,7:20:13,10/22/21,SafeSt,,,,,,12/03/21,19
1,807517908,28,11/05/21,7:23:18,12/17/21,ShLine,,,,,,12/03/21,19
1,807517908,2,10/27/21,7:19:56,10/28/21,ShipNt,,,,,,12/03/21,19
1,807517908,0,11/04/21,7:22:48,11/04/21,SafeSt,,,,,,12/03/21,19
1,807517908,2,10/22/21,7:20:13,10/25/21,ShipNt,,,,,,12/03/21,19
1,807517908,0,11/08/21,4:05:20,11/08/21,SafeSt,SafetyStock,,,3.000-,2,12/03/21,19
1,807517908,0,11/22/21,4:05:02,11/22/21,SafeSt,SafetyStock,,,3.000-,1,12/03/21,19
1,807517908,3,10/30/21,7:23:39,11/01/21,ShipNt,,,,,,12/03/21,19
1,807517908,29,11/02/21,7:23:29,12/17/21,ShLine,,,,,,12/03/21,19
1,807517908,2,11/19/21,7:19:35,11/29/21,SchAgr,F3JJLRK/00001,11/24/21,30,3,4,12/03/21,19
1,807517908,0,12/01/21,7:19:37,12/01/21,SafeSt,SafetyStock,,,3.000-,3,12/03/21,19
1,807517908,1,10/23/21,7:19:54,10/23/21,Stock,,,,,,12/03/21,19
1,807517908,27,11/03/21,7:23:04,12/17/21,ShLine,,,,,,12/03/21,19
1,807517908,2,11/01/21,4:08:43,11/01/21,ShipNt,,,,,,12/03/21,19
1,807517908,19,11/08/21,4:05:20,12/17/21,ShLine,0200208110/00003,11/12/21,10,1,11,12/03/21,19
1,807517908,0,11/01/21,4:08:43,11/01/21,SafeSt,,,,,,12/03/21,19
1,807517908,3,11/08/21,4:05:20,11/15/21,SchAgr,F3JJLRK/00001,11/13/21,30,3,4,12/03/21,19
1,807517908,2,11/29/21,4:04:56,11/29/21,ShipNt,0185499791/F3JJLRK,11/24/21,10,3,4,12/03/21,19
1,807517908,5,10/27/21,7:19:56,11/01/21,SchAgr,,,,,,12/03/21,19
1,807517908,0,11/05/21,7:23:18,11/05/21,SafeSt,,,,,,12/03/21,19
