mandt,matnr,aline,cdate,ctime,dat00,delb0,extra,umdat,auskt,mng01,mng02,p_ingestday,p_ingesttime
1,807517710,0,11/09/21,7:20:25,11/09/21,SafeSt,SafetyStock,,,8.000-,5,12/03/21,19
1,807517710,2,11/15/21,4:04:48,11/15/21,ShipNt,0185480151/F3KYLPR,11/12/21,10,18,38,12/03/21,19
1,807517710,0,11/06/21,7:23:14,11/06/21,SafeSt,,,,,,12/03/21,19
1,807517710,67,11/13/21,7:19:42,12/17/21,ShLine,0200208110/00001,12/11/21,10,1,18,12/03/21,19
1,807517710,45,10/26/21,7:20:13,11/19/21,ShLine,,,,,,12/03/21,19
1,807517710,2,11/10/21,7:19:43,11/11/21,SchAgr,F3KYLPR/00001*,11/10/21,10,9,12,12/03/21,19
1,807517710,4,11/11/21,7:19:33,11/15/21,SchAgr,F3KYLPR/00001*,11/12/21,10,9,29,12/03/21,19
1,807517710,0,11/20/21,7:19:27,11/20/21,SafeSt,SafetyStock,,,8.000-,19,12/03/21,19
1,807517710,8,11/20/21,7:19:27,11/22/21,ShipNt,0185494047/F3KYLPR,11/17/21,10,18,31,12/03/21,19
1,807517710,41,10/25/21,4:05:29,11/19/21,ShLine,,,,,,12/03/21,19
1,807517710,64,11/01/21,4:08:43,12/17/21,ShLine,,,,,,12/03/21,19
1,807517710,67,11/15/21,4:04:48,12/17/21,ShLine,0200208110/00001,12/04/21,10,1,26,12/03/21,19
1,807517710,9,11/08/21,4:05:20,11/11/21,SchAgr,F3KYLPR/00001*,11/10/21,10,9,13,12/03/21,19
1,807517710,6,11/17/21,7:19:39,11/18/21,ShipNt,0185490004/F3KYLPR,11/17/21,10,9,27,12/03/21,19
1,807517710,2,11/11/21,7:19:33,11/11/21,ShipNt,0185476746/F3KYLPR,11/10/21,10,18,21,12/03/21,19
1,807517710,21,11/05/21,7:23:18,11/11/21,SchAgr,,,,,,12/03/21,19
1,807517710,0,10/27/21,7:19:56,10/27/21,SafeSt,,,,,,12/03/21,19
1,807517710,0,12/02/21,7:19:43,12/02/21,SafeSt,SafetyStock,,,8.000-,7,12/03/21,19
1,807517710,0,11/11/21,7:19:33,11/11/21,SafeSt,SafetyStock,,,8.000-,3,12/03/21,19
1,807517710,0,11/19/21,7:19:35,11/19/21,SafeSt,SafetyStock,,,8.000-,20,12/03/21,19
1,807517710,0,10/23/21,7:19:54,10/23/21,SafeSt,,,,,,12/03/21,19
