mandt,matnr,aline,cdate,ctime,dat00,delb0,extra,umdat,auskt,mng01,mng02,p_ingestday,p_ingesttime
1,741788607,147,04/01/22,7:18:03,04/02/22,SchAgr,F3KXYFG/00001*,04/01/22,10,240,642,04/04/22,14
1,741788607,1522,04/02/22,7:18:03,04/13/22,SchAgr,F3KXYFG/00001,04/12/22,30,160,740,04/04/22,14
1,741788607,99,04/02/22,7:18:03,04/04/22,SchAgr,F3KXYFG/00001*,04/02/22,10,80,549,04/04/22,14
1,741788607,173,03/29/22,7:18:02,03/30/22,SchAgr,F3KXYFG/00001*,03/29/22,10,240,791,04/04/22,14
1,741788607,0,12/07/21,7:17:44,12/07/21,SafeSt,SafetyStock,,,120.000-,950,12/09/21,9
1,741788607,1493,12/07/21,7:17:44,12/14/21,SchAgr,F3KXYFG/00001,12/13/21,30,320,1,306.00,12/09/21,9
1,741788607,2879,12/07/21,7:17:44,12/23/21,SchAgr,F3KXYFG/00001,12/22/21,30,160,622,12/09/21,9
1,741788607,2882,12/07/21,7:17:44,01/04/22,SchAgr,F3KXYFG/00001,12/23/21,30,240,555,12/09/21,9
1,741788607,2891,12/07/21,7:17:44,01/07/22,SchAgr,F3KXYFG/00001,01/06/22,30,240,710,12/09/21,9
1,741788607,2900,12/07/21,7:17:44,01/11/22,SchAgr,F3KXYFG/00001,01/10/22,30,240,698,12/09/21,9
1,741788607,2915,12/07/21,7:17:44,01/18/22,SchAgr,F3KXYFG/00001,01/15/22,30,240,644,12/09/21,9
1,741788607,2927,12/07/21,7:17:44,01/22/22,SchAgr,F3KXYFG/00001,01/21/22,30,240,714,12/09/21,9
1,741788607,0,12/06/21,4:02:53,12/06/21,SafeSt,SafetyStock,,,120.000-,1,169.00,12/08/21,9
1,741788607,358,12/06/21,4:02:53,12/07/21,SchAgr,F3KXYFG/00001*,12/06/21,10,240,1,053.00,12/08/21,9
1,741788607,931,04/02/22,7:18:03,04/09/22,SchAgr,F3KXYFG/00001,04/08/22,30,240,847,04/04/22,14
1,741788607,0,12/18/21,7:17:52,12/18/21,SafeSt,SafetyStock,,,120.000-,1,033.00,12/20/21,9
1,741788607,0,12/10/21,7:18:12,12/10/21,SafeSt,SafetyStock,,,120.000-,867,12/12/21,9
1,741788607,0,12/15/21,7:17:38,12/15/21,SafeSt,SafetyStock,,,120.000-,672,12/17/21,9
1,741788607,4,12/15/21,7:17:38,12/14/21,ShipNt,0185535279/F3KXYFG,12/15/21,15,320,991,12/17/21,9
1,741788607,0,12/14/21,7:17:35,12/14/21,SafeSt,SafetyStock,,,120.000-,788,12/16/21,9
1,741788607,4,12/14/21,7:17:35,12/13/21,ShipNt,0185532485/F3KXYFG,,7,320,1,107.00,12/16/21,9
1,741788607,0,12/13/21,4:03:03,12/13/21,SafeSt,SafetyStock,,,120.000-,1,238.00,12/15/21,9
