material,plant,mrp_area,demand_date,mrp_element_cd,shipping_notification,container_info,mrp_element,change_quantity,total_quantity,storage_location,supplier_nr,planner,split_indicator,line_index,document_uuid,sid_client,snapdate,snaptime,load_date,load_timestamp,_load_date
7420657-10,MC10,,05/11/21,SB,,,DepReq,-1,347,PLT1,,114,,3,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
7420657-10,MC10,,05/19/21,SB,,,DepReq,-13,334,PLT1,,114,,4,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
7420657-10,MC10,,05/19/21,SB,,,DepReq,-2,332,PLT1,,114,,5,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
7420657-10,MC10,,05/20/21,WB,,,Stock,390,390,,,114,,1,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
7420657-10,MC10,,05/20/21,SH,,,SafeSt,-42,348,,,114,,2,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
7420657-10,MC10,,05/20/21,LA,185083235,5160841,ShipNt,168,500,,21420511,114,,6,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
7420657-10,MC10,,05/20/21,SB,,,DepReq,-7,493,PLT1,,114,,7,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
7420657-10,MC10,,05/20/21,SB,,,DepReq,-2,491,PLT1,,114,,8,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
7420657-10,MC10,,05/20/21,SB,,,DepReq,-188,303,PLT1,,114,,9,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
7420657-10,MC10,,05/20/21,SB,,,DepReq,-28,275,PLT1,,114,,10,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
7420657-10,MC10,,05/21/21,LE,,,SchAgr,252,527,,21420511,114,,11,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
7420657-10,MC10,,05/21/21,SB,,,DepReq,-8,519,PLT1,,114,,12,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
7420657-10,MC10,,05/21/21,SB,,,DepReq,-3,516,PLT1,,114,,13,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
7420657-10,MC10,,05/21/21,SB,,,DepReq,-79,437,PLT1,,114,,14,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
7420657-10,MC10,,05/21/21,SB,,,DepReq,-19,418,PLT1,,114,,15,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
7420657-10,MC10,,05/22/21,SB,,,DepReq,-1,553,PLT1,,114,,3,3ce6f0378b7f3faf893c7e3d0ef3f882,MCP,5/23/21,11:05.0,5/23/21,36:00.0,5/23/21
7420657-10,MC10,,05/22/21,SB,,,DepReq,-58,495,PLT1,,114,,4,3ce6f0378b7f3faf893c7e3d0ef3f882,MCP,5/23/21,11:05.0,5/23/21,36:00.0,5/23/21
7420657-10,MC10,,05/22/21,SB,,,DepReq,-17,478,PLT1,,114,,5,3ce6f0378b7f3faf893c7e3d0ef3f882,MCP,5/23/21,11:05.0,5/23/21,36:00.0,5/23/21
7420657-10,MC10,,05/22/21,SB,,,DepReq,-1,417,PLT1,,114,,16,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
7420657-10,MC10,,05/22/21,SB,,,DepReq,-4,413,PLT1,,114,,17,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
7420657-10,MC10,,05/22/21,SB,,,DepReq,-34,267,PLT1,,114,,19,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
7420657-10,MC10,,05/23/21,WB,,,Stock,596,596,,,114,,1,3ce6f0378b7f3faf893c7e3d0ef3f882,MCP,5/23/21,11:05.0,5/23/21,36:00.0,5/23/21
7420657-10,MC10,,05/23/21,SH,,,SafeSt,-42,554,,,114,,2,3ce6f0378b7f3faf893c7e3d0ef3f882,MCP,5/23/21,11:05.0,5/23/21,36:00.0,5/23/21
7420657-10,MC10,,05/24/21,SB,,,DepReq,-5,473,PLT1,,114,,6,3ce6f0378b7f3faf893c7e3d0ef3f882,MCP,5/23/21,11:05.0,5/23/21,36:00.0,5/23/21
7420657-10,MC10,,05/24/21,SB,,,DepReq,-4,469,PLT1,,114,,7,3ce6f0378b7f3faf893c7e3d0ef3f882,MCP,5/23/21,11:05.0,5/23/21,36:00.0,5/23/21
7420657-10,MC10,,05/24/21,SB,,,DepReq,-140,329,PLT1,,114,,8,3ce6f0378b7f3faf893c7e3d0ef3f882,MCP,5/23/21,11:05.0,5/23/21,36:00.0,5/23/21
7420657-10,MC10,,05/24/21,SB,,,DepReq,-46,283,PLT1,,114,,9,3ce6f0378b7f3faf893c7e3d0ef3f882,MCP,5/23/21,11:05.0,5/23/21,36:00.0,5/23/21
7420657-10,MC10,,05/24/21,FH,,,----->,0,267,,,114,,20,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
7420657-10,MC10,,05/24/21,LE,,,SchAgr,210,477,,21420511,114,,21,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
7420657-10,MC10,,05/24/21,SB,,,DepReq,-6,471,PLT1,,114,,22,728e1a6a8a053e03ad3ffe79c3f38bed,MCP,5/20/21,12:42.0,5/20/21,35:00.0,5/20/21
