material,plant,mrp_area,demand_date,mrp_element_cd,shipping_notification,container_info,mrp_element,change_quantity,total_quantity,storage_location,supplier_nr,planner,split_indicator,line_index,document_uuid,sid_client,snapdate,snaptime,load_date,load_timestamp,_load_date
8071659-07,MC10,,05/11/21,SB,,,DepReq,-1,959,PLT1,,114,,3,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
8071659-07,MC10,,05/20/21,WB,,,Stock,1080,1080,,,114,,1,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
8071659-07,MC10,,05/20/21,SH,,,SafeSt,-120,960,,,114,,2,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
8071659-07,MC10,,05/20/21,SB,,,DepReq,-8,945,PLT1,,114,,5,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
8071659-07,MC10,,05/20/21,SB,,,DepReq,-117,739,PLT1,,114,,6,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
8071659-07,MC10,,05/20/21,SB,,,DepReq,-118,709,PLT1,,114,,7,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
8071659-07,MC10,,05/21/21,LE,,,SchAgr,400,1109,,24446310,114,,8,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
8071659-07,MC10,,05/21/21,SB,,,DepReq,-7,1101,PLT1,,114,,9,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
8071659-07,MC10,,05/21/21,SB,,,DepReq,-8,1094,PLT1,,114,,10,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
8071659-07,MC10,,05/21/21,SB,,,DepReq,-147,836,PLT1,,114,,11,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
8071659-07,MC10,,05/21/21,SB,,,DepReq,-149,798,PLT1,,114,,12,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
8071659-07,MC10,,05/22/21,SB,,,DepReq,-1,1242,PLT1,,114,,3,42ec1b5eae30c9208926c45e8e304b91,MCP,5/23/21,18:17.0,5/23/21,37:06.0,5/23/21
8071659-07,MC10,,05/22/21,SB,,,DepReq,-1,1241,PLT1,,114,,4,42ec1b5eae30c9208926c45e8e304b91,MCP,5/23/21,18:17.0,5/23/21,37:06.0,5/23/21
8071659-07,MC10,,05/22/21,SB,,,DepReq,-32,1209,PLT1,,114,,5,42ec1b5eae30c9208926c45e8e304b91,MCP,5/23/21,18:17.0,5/23/21,37:06.0,5/23/21
8071659-07,MC10,,05/22/21,SB,,,DepReq,-32,1177,PLT1,,114,,6,42ec1b5eae30c9208926c45e8e304b91,MCP,5/23/21,18:17.0,5/23/21,37:06.0,5/23/21
8071659-07,MC10,,05/22/21,LE,,,SchAgr,320,1118,,24446310,114,,13,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
8071659-07,MC10,,05/22/21,SB,,,DepReq,-4,1109,PLT1,,114,,14,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
8071659-07,MC10,,05/22/21,SB,,,DepReq,-9,1105,PLT1,,114,,15,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
8071659-07,MC10,,05/22/21,SB,,,DepReq,-124,884,PLT1,,114,,16,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
8071659-07,MC10,,05/22/21,SB,,,DepReq,-130,851,PLT1,,114,,17,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
8071659-07,MC10,,05/23/21,WB,,,Stock,1363,1363,,,114,,1,42ec1b5eae30c9208926c45e8e304b91,MCP,5/23/21,18:17.0,5/23/21,37:06.0,5/23/21
8071659-07,MC10,,05/23/21,SH,,,SafeSt,-120,1243,,,114,,2,42ec1b5eae30c9208926c45e8e304b91,MCP,5/23/21,18:17.0,5/23/21,37:06.0,5/23/21
8071659-07,MC10,,05/24/21,SB,,,DepReq,-13,1161,PLT1,,114,,7,42ec1b5eae30c9208926c45e8e304b91,MCP,5/23/21,18:17.0,5/23/21,37:06.0,5/23/21
8071659-07,MC10,,05/24/21,SB,,,DepReq,-4,1160,PLT1,,114,,8,42ec1b5eae30c9208926c45e8e304b91,MCP,5/23/21,18:17.0,5/23/21,37:06.0,5/23/21
8071659-07,MC10,,05/24/21,SB,,,DepReq,-138,911,PLT1,,114,,9,42ec1b5eae30c9208926c45e8e304b91,MCP,5/23/21,18:17.0,5/23/21,37:06.0,5/23/21
8071659-07,MC10,,05/24/21,SB,,,DepReq,-148,874,PLT1,,114,,10,42ec1b5eae30c9208926c45e8e304b91,MCP,5/23/21,18:17.0,5/23/21,37:06.0,5/23/21
8071659-07,MC10,,05/24/21,FH,,,----->,0,851,,,114,,18,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
8071659-07,MC10,,05/24/21,LE,,,SchAgr,320,1171,,24446310,114,,19,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
8071659-07,MC10,,05/24/21,SB,,,DepReq,-14,1154,PLT1,,114,,20,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
8071659-07,MC10,,05/24/21,SB,,,DepReq,-3,1158,PLT1,,114,,21,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
8071659-07,MC10,,05/24/21,SB,,,DepReq,-137,906,PLT1,,114,,22,0ddadbebcdc9494ff8be4dfe4bbf23f3,MCP,5/20/21,21:04.0,5/20/21,35:17.0,5/20/21
