material,plant,mrp_area,demand_date,mrp_element_cd,shipping_notification,container_info,mrp_element,change_quantity,total_quantity,storage_location,supplier_nr,planner,split_indicator,line_index,document_uuid,sid_client,snapdate,snaptime,load_date,load_timestamp,_load_date
5A11EC1-02,MC10,,07/06/21,WB,,,Stock,0,0,,,120,,1,a1e7a03638e83892db16c1c5c3383452,MCP,7/6/21,28:04.0,7/6/21,37:26.0,7/6/21
5A11EC1-02,MC10,,07/07/21,WB,,,Stock,0,0,,,120,,1,0a55879e181cc1bd6e8d8f1c2399e460,MCP,7/7/21,28:06.0,7/7/21,36:52.0,7/7/21
5A11EC1-02,MC10,,07/08/21,WB,,,Stock,0,0,,,120,,1,1ba0c252c7507cdeb442e51c6411f69f,MCP,7/8/21,29:24.0,7/8/21,36:38.0,7/8/21
5A11EC1-02,MC10,,07/09/21,WB,,,Stock,0,0,,,120,,1,966da4f52e3c72ef5592c51f25ce498e,MCP,7/9/21,28:22.0,7/9/21,36:51.0,7/9/21
5A11EC1-02,MC10,,07/10/21,WB,,,Stock,0,0,,,120,,1,c1dd2920d80baeae63f9b8ec2c3d7632,MCP,7/10/21,29:17.0,7/10/21,35:24.0,7/10/21
5A11EC1-02,MC10,,07/11/21,WB,,,Stock,0,0,,,120,,1,56afde53933c1681f7ddcf5c74fc4891,MCP,7/11/21,28:48.0,7/11/21,37:28.0,7/11/21
5A11EC1-02,MC10,,07/12/21,WB,,,Stock,0,0,,,120,,1,3f4649bb725e10c6e068a3c3840b2d4a,MCP,7/12/21,27:48.0,7/12/21,38:17.0,7/12/21
5A11EC1-02,MC10,,07/13/21,WB,,,Stock,0,0,,,120,,1,5f81f36fbd559c0f8e99c3866670175d,MCP,7/13/21,30:16.0,7/13/21,33:00.0,7/13/21
5A11EC1-02,MC10,,07/14/21,WB,,,Stock,0,0,,,120,,1,d17669f538483b87a35ae93bdd133488,MCP,7/14/21,32:12.0,7/14/21,35:38.0,7/14/21
5A11EC1-02,MC10,,07/15/21,WB,,,Stock,0,0,,,120,,1,e00a4d1501358ff9a967ae8d7e1a72c1,MCP,7/15/21,33:14.0,7/15/21,33:35.0,7/15/21
5A11EC1-02,MC10,,07/16/21,WB,,,Stock,0,0,,,120,,1,54f03e0502f901c591ad20d67465fcfc,MCP,7/16/21,32:56.0,7/16/21,33:43.0,7/16/21
5A11EC1-02,MC10,,07/17/21,WB,,,Stock,0,0,,,120,,1,26878347f6543f1c5fb9c8d7246e1974,MCP,7/17/21,29:42.0,7/17/21,37:12.0,7/17/21
5A11EC1-02,MC10,,07/18/21,WB,,,Stock,0,0,,,120,,1,617712ea86faadec7e47c847a7028c3b,MCP,7/18/21,27:25.0,7/18/21,38:29.0,7/18/21
5A11EC1-02,MC10,,07/19/21,WB,,,Stock,0,0,,,120,,1,b755b6c296901b31b7ec2d43a911fd50,MCP,7/19/21,30:04.0,7/19/21,32:41.0,7/19/21
5A11EC1-02,MC10,,07/20/21,WB,,,Stock,0,0,,,120,,1,a80e268ad911a0a0167916288b338052,MCP,7/20/21,30:25.0,7/20/21,33:09.0,7/20/21
5A11EC1-02,MC10,,07/21/21,WB,,,Stock,0,0,,,120,,1,a1991519801027a350f0e9a7add7863a,MCP,7/21/21,31:39.0,7/21/21,34:24.0,7/21/21
5A11EC1-02,MC10,,07/22/21,WB,,,Stock,0,0,,,120,,1,d3e76f055af1e96e2dec875b1dec61f8,MCP,7/22/21,30:51.0,7/22/21,33:56.0,7/22/21
5A11EC1-02,MC10,,07/23/21,WB,,,Stock,0,0,,,120,,1,55e8ce59cb8e29769f24ad7556b1d66b,MCP,7/23/21,30:53.0,7/23/21,33:11.0,7/23/21
5A11EC1-02,MC10,,07/24/21,WB,,,Stock,0,0,,,120,,1,b984077920f32d9d68eaaea65e5a0867,MCP,7/24/21,31:55.0,7/24/21,34:25.0,7/24/21
5A11EC1-02,MC10,,07/25/21,WB,,,Stock,0,0,,,120,,1,e46eff6fd8a7587bb0d5d363717e8585,MCP,7/25/21,29:27.0,7/25/21,36:32.0,7/25/21
5A11EC1-02,MC10,,07/26/21,WB,,,Stock,0,0,,,120,,1,48820b4107136f38d3c4773d0f993cde,MCP,7/26/21,31:12.0,7/26/21,33:17.0,7/26/21
5A11EC1-02,MC10,,07/27/21,WB,,,Stock,0,0,,,120,,1,bc5e96163f134b72c6a988b64510f427,MCP,7/27/21,30:53.0,7/27/21,33:21.0,7/27/21
5A11EC1-02,MC10,,07/28/21,WB,,,Stock,0,0,,,120,,1,3cbe79e11b3677593899d092d7ab5390,MCP,7/28/21,30:25.0,7/28/21,33:44.0,7/28/21
5A11EC1-02,MC10,,07/29/21,WB,,,Stock,0,0,,,120,,1,7754c597f9dd5f4a8d9d0fc2e8155d62,MCP,7/29/21,27:17.0,7/29/21,38:33.0,7/29/21
5A11EC1-02,MC10,,07/30/21,WB,,,Stock,0,0,,,120,,1,bb3352ba7bc32ba64bcdad0b5b7c98eb,MCP,7/30/21,28:06.0,7/30/21,39:19.0,7/30/21
5A11EC1-02,MC10,,07/31/21,WB,,,Stock,0,0,,,120,,1,dba463ace86a4e00477a58e3aae68599,MCP,7/31/21,33:09.0,7/31/21,38:26.0,7/31/21
